Total supply:  1000
############## Round 0 ##############
Account: 0x905f281E98A19Bf61623cF7faE058b199E30eCA7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2070416447499941000, Bid count: 0
Account: 0xA64176E210CF7d6be4DD5e85488B57a973635C16, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3359026838981888000, Bid count: 0
Account: 0x3b16b41cbb17A1E67AC856E3688E34191f02bd59, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1936195455456691800, Bid count: 0
Account: 0x74174Bdb407acF271489cb05B5C0e5a55f8F7291, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1802114568018604600, Bid count: 0
Account: 0x2E6C96f9C314c19110c2f0bA73d41d95eD8817C3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1236346568055415500, Bid count: 0
Account: 0x15aF9d3C6Df38ad1C0f85C77e9B19ab8777016e9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3053335043704777300, Bid count: 0
Account: 0x0D71447455B03A63a0a87cAd3abe64623dfea6ce, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4414253550867462000, Bid count: 0
Account: 0x030F4e3123b04D4330d3B881c77f89DFCE91F04d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2395999210160788500, Bid count: 0
Account: 0xaA5b845950783dE9b0B2F6184CdEf4B4c36375d7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1984344104057623500, Bid count: 0
Account: 0x276D925237B351FC9e98B8Ec0B9b78F47E8b952b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6019133667745939000, Bid count: 0
Account: 0x2e3C94611c465a389cfEF089F9533068eEa24349, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3536651381599955000, Bid count: 0
Account: 0x60bee6A9B6221858b29631eD4F80734E165a7b61, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3857525226736684400, Bid count: 0
Account: 0xc34040964B211f31dC3CA8f6cEB789706b50b334, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4127104322255147000, Bid count: 0
Account: 0xb8b8a7298bdF8F55A57376b870255ac0f6d6D149, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3703105192064984700, Bid count: 0
Account: 0x450755129409597B0c462863AC53865ABD119E99, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2908495957140778000, Bid count: 0
Account: 0x482A702Daea657caBC3b74a139211721E74f7D24, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2472554232271508400, Bid count: 0
Account: 0xf5cfC9436da8aFA8D80d1dCB4100c20623016cA8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1612637269620854000, Bid count: 0
Account: 0x1cf04597c4eaDb9B88cCA71eFFD0A87264f4D59C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1996579130270824500, Bid count: 0
Account: 0xE78aBeC0f47BeF80C84700EA73D1d5074E49503A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1322683775032101700, Bid count: 0
Account: 0x2dDf60E7C65FEA88C5940DEaB732628Ba0BB2B4C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2020365451406004500, Bid count: 0
