Total supply:  1000
############## Round 0 ##############
Account: 0xD4bA13fe5bC9858e0aC81F67faEba2F8781D38C5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2113622684379479000, Bid count: 0
Account: 0x87dD7b71Ca05bEC15D0f135a9b040ca9E25D0dB8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2031150139121404400, Bid count: 0
Account: 0x8866d5a80dAA89b0719798Cd5A0c87858a06ee46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2819052331764112700, Bid count: 0
Account: 0x46eF9786Ec71C4580c51721f544470eF32FE57aA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3504819120996333700, Bid count: 0
Account: 0x40c1472E3dfa02Cf7722C2b72989292F3676f6BC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1657842118910506400, Bid count: 0
Account: 0x96628a9FD550CE18B5D3b9b9B2113D9EB806361C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1567902640936585700, Bid count: 0
Account: 0x97923592d482c20bB554c7a9D755Fb68f4f2bce7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1505485567399559000, Bid count: 0
Account: 0x4F9499E8d76cacf3c88a0D5aB091c89C5C16B98a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2321322446810605700, Bid count: 0
Account: 0x4aBf24502E718a0C542712FeBD24A90a8040561C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1553219343315403600, Bid count: 0
Account: 0xB249E85aDB0E437e5F6c73eef568030DfaE9dcC4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2904589927065823800, Bid count: 0
Account: 0x9Edb9619a95C559C223f8137dD5015441444E872, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3460290519307367400, Bid count: 0
Account: 0x1D2cf8dDbfDD81BB1e31b9B60B902DEEE37b65e3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1889328303958505000, Bid count: 0
Account: 0xB83e00c3495236DD7a793563708A592565C222A1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3732009028731653600, Bid count: 0
Account: 0x6fB39a0C83387391b09B66301eF4B4754AB243c6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2045741241654121000, Bid count: 0
Account: 0xA2C2F64Cb4Da0BC1Bc87A78F784CF50edc434148, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3546346057075747500, Bid count: 0
Account: 0x872aa796012584F09B980a9eAA962eaa2C37CAf1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2316825315647697000, Bid count: 0
Account: 0x39211B6BE6C4F50bB2e9CfC2A0ea2f6D871E349b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1232278212140196300, Bid count: 0
Account: 0x9f3B8684FE06109b2A632BDfbe0c5c2388F614D0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2444967219257093000, Bid count: 0
Account: 0x9aa2DaBA1F5a806aFE46A9AFe1EED3E5925Bb363, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1985256550629437700, Bid count: 0
Account: 0x13c1813FaCfb1aA4661F173c971147797D20E5eA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2613638842425524000, Bid count: 0
Account: 0x8133B53aFF52368d017c8d08D83CEc55C22cDd77, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1913775131700373500, Bid count: 0
