Total supply:  1000
############## Round 0 ##############
Account: 0x34284cc32E2f70Ac6dDFf66D475002Cb9553C4ac, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2296517181586969000, Bid count: 0
Account: 0x9f888D79d67814aaf01d2b3f540B7557c560a294, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2125683747593566000, Bid count: 0
Account: 0xc18FbC30c7b377518ACa4cfEeC27c76BEA672CF4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1906641810886248000, Bid count: 0
Account: 0xf68dBe907Ab256ae749A02c79b5665cb490d4702, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1994482489779698700, Bid count: 0
Account: 0x930f9a52a5D99e98D6A33D98Fd2b29aF7773148B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2028637973015867000, Bid count: 0
Account: 0xFb4153191Ddad30F61CF0B557cF089Dd02A90AED, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1979803420076575700, Bid count: 0
Account: 0x8F0A9B6E4E20b8Fc1FcAef2DBDB4ecC8f16910A4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1836417063844195200, Bid count: 0
Account: 0x7559910A9c47e84420fC6026B2E4421e00fdb0a8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2941174588071062700, Bid count: 0
Account: 0xD308a0a06c18c8E2b524734d7622131A4Ae71ac7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1073563155874614200, Bid count: 0
Account: 0xb0145BAA1B8bC50eD942Fddb8CeeEBb80d6DfE56, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3080490898921534300, Bid count: 0
Account: 0x394CA8c9D90fA9256228C5E779043dEd2685C88f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2786571007484933500, Bid count: 0
Account: 0x520706B7C2A265cb41A7cc813AB2EfFE80DF150f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3256272969611973000, Bid count: 0
Account: 0x6a14A9D8A7a8597ea5840A0F48F5c47dB02429D6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2201906396178727300, Bid count: 0
Account: 0xFc591E2f39295a3e556BAee17bd477DeF7A37DA8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2136571094932217000, Bid count: 0
Account: 0xbFeF041593d6dFbb2666e5824424207DF22592e8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1878076379945596000, Bid count: 0
Account: 0xcf8c61Ecb6996f15db8f61b70d79Fad5b74dA3Cf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1032850014908811600, Bid count: 0
Account: 0x0a805560fa0D1f58B4d2E48Ef0367e9441D741FE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4731922497662235000, Bid count: 0
Account: 0xd49B5DcD1739219ee040910f33B8dbEd25E99525, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3398806244584558000, Bid count: 0
Account: 0x9e08CD506BC38c39Bc256074fD30134f1a078a0e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2539018679970572700, Bid count: 0
Account: 0xe65cc452A0db58838aC902868d4b2E3dE3E4D448, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1992475161688601200, Bid count: 0
Account: 0x8D3c9285eEDbBdfEDB34B147AF451C573650Ce4b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2881697565027859000, Bid count: 0
Account: 0x7cC7E227772294107B8695d2a138721E61544577, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1494988663760338000, Bid count: 0
Account: 0x23f677E427A749323D915216cd0B2c6DEc89f7cA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2426995044893688000, Bid count: 0
Account: 0x0482003B8AC64b089Cf6c71176d7651d6482850e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2630882453426246500, Bid count: 0
Account: 0xEcb1357BaB7603D5202295C001b5b5f785532eFB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2126360744670218000, Bid count: 0
Account: 0x516FBf4605Df825B0F98A88B96b078A6A16B9cA3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2765612378585598000, Bid count: 0
Account: 0xF59B35C6C76dCeb738fa8690dA0f2b169F8243bF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1747555502829854200, Bid count: 0
Account: 0xa2679F4BFDFEdcE8C4667753cfE3808C2e831a20, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2358416829930665600, Bid count: 0
Account: 0x346C7ecF56177d9a7170DE5FE0B79764C2BA83D2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3140885440650257000, Bid count: 0
Account: 0x1eb9bE415B939540f0518E820D7e97d0E108b509, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3232569260281538000, Bid count: 0
Account: 0x7aF27783f521D51c03BC7AF2BdDcd6dd57869a17, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1344520396141126700, Bid count: 0
Account: 0x3E14fDb75e81e36dc4d0aa77A1B9270c6732b131, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1563129175567601300, Bid count: 0
