Total supply:  1000
############## Round 0 ##############
Account: 0xC88f96FeD4Bb0dA29962E55C90fcAE652CA610D7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2238305371266440200, Bid count: 0
Account: 0x4581B9CA200d3B24632507dD1811c26DF995bb82, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3180215004325021700, Bid count: 0
Account: 0x340bF9c2084b16315183125efF73A7F22eEA9819, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2320510940706660600, Bid count: 0
Account: 0x3BbEdD555098E2F96F55E2288FC29B27c71f89C7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2187414140086560500, Bid count: 0
Account: 0x1933e59CeA7ee103a9eBd3a2B76CDE81199587b0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1510742129080031100, Bid count: 0
Account: 0x93536785d9e4aB3Dea3D55493Bae4c1C88C1af14, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3372064109288378000, Bid count: 0
Account: 0xAcC65FDDF942d50724c762A0ea8893Ced30BB312, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1513985012195330700, Bid count: 0
Account: 0xdD0434179f2189F9582B706547a5AA863B1fe8de, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3033873945963632000, Bid count: 0
Account: 0x7AC87B4Ae2cd3c2B1B625f0C60BbccE62F91A570, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2569534911784308000, Bid count: 0
Account: 0x83F3E8BF50B3B8846C0a60027c4e1e7C58754863, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2795511253978906700, Bid count: 0
Account: 0xE32B25D54BecDd058D7FaaB96224e8026986156A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1877722749852082000, Bid count: 0
Account: 0xA601f937874e569751fC3c69eC1782670c9cdDF5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2600008651366027700, Bid count: 0
Account: 0xc35f7C546a44cb9266bFA6f01881BF91a21eeAea, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2106457885300700000, Bid count: 0
Account: 0x9557f8fd741AFd4E2Fc655b6154c039a83B5A888, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2528950781246075000, Bid count: 0
Account: 0xB59eAcc4d7Fe532E7fa5301233c861994EfdC8eF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4065672557570858000, Bid count: 0
Account: 0xA1c6CC390E3b85Cd1987BD944fC17Ae909ff0361, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2751758857202376300, Bid count: 0
Account: 0xf744cAaED5380374f0575F5304Ee69b76A72566C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1967837765396419000, Bid count: 0
Account: 0x6CA246EE009a9523aFBfc83bdC1CEa4D19714b16, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1567244838700459000, Bid count: 0
Account: 0x56AAff72Cd9c7D37dE3698e01E1b873d282570f3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2781596106169315500, Bid count: 0
Account: 0x0a8f8Cf69D226b99B0849d135D4529134992C018, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2139083729659782700, Bid count: 0
Account: 0xC357d9632F8f90E43C390a329B6FC5b7a38E1eA7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3067064172245798700, Bid count: 0
Account: 0x111557D6F8b4e18C155c5da8624149b2f315eD8f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1937979600138412200, Bid count: 0
Account: 0xb6076980540A8d51267dafd8956D2aD2B452ed9a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3636592964436694300, Bid count: 0
Account: 0x956BFB3276c24Bc4414AE15E9591fBd4cB917654, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1944188656765393700, Bid count: 0
Account: 0x692697fc63280161Ab207dBfDbf87D2bf1702c99, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1854274156766032000, Bid count: 0
Account: 0x42f26c4b8d7F257F5F920a2BAcA48e6866c7b4D3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1911293623620291800, Bid count: 0
Account: 0x3DEb01B5Be2287084dB61D3414abCbFc7EF54117, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1815755129477667500, Bid count: 0
Account: 0x0333fbe40486D58B90C69a6364a5145C8E643bbF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3081917969993907000, Bid count: 0
Account: 0xD4499b62da240100e1344634DDE74d0b2fDF0b16, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1990370089662622400, Bid count: 0
Account: 0xc64309b900199C87e3f9BF46B83257f0C6f57CbF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1848309504481617800, Bid count: 0
Account: 0x549e2bb862379E6e594c5C48eC1301C6A79783ab, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1825630884387876800, Bid count: 0
Account: 0xb9DF78e8B0c71465646438f1B6Dab0bf63C4a786, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4081786621066026000, Bid count: 0
Account: 0x742f8F4B2520A93D8281E1eFA1b2FDB56A6A6656, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2610908525606711300, Bid count: 0
Account: 0x96E84139f66fd384797B0b556a6F9e923B4ff41D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2101444913434307600, Bid count: 0
Account: 0x15F635D0d2EBCd22fb493F168D03C04502dD20cE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6140339150194874000, Bid count: 0
Account: 0x48041c661C00D0AB37906c6eFFBa96D45D51f429, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1953392136896424400, Bid count: 0
Account: 0x7734C2560dC4344e8229e9691CC7A69226D3f85A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4091219078625802000, Bid count: 0
Account: 0x9c4ccf6b54c4A7831B38B50AAD60826585cfea7b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3837564853188269300, Bid count: 0
Account: 0xc54B709B2cDd9A0f2b02AB86F652E4C94fD13891, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2218256964511408700, Bid count: 0
Account: 0x13b9046103a5b724BdeDEC6E86aB71c591CBF919, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1843967951835268000, Bid count: 0
Account: 0x604b75A0af99b9308B18D5d08d10f82dE2db4b14, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3629441335823879000, Bid count: 0
Account: 0x4c5900E7D1D2962684B66cA283be69524AB8f9Da, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2838836411337463000, Bid count: 0
Account: 0xB1CEfaEf4C152d171Dd329d3Ea13C20c6F33DFF3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1637225635504561300, Bid count: 0
Account: 0x64634c0dFAc5a1029Bcc67D55bB712B9B91C4a2c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3368999930490254700, Bid count: 0
Account: 0xaC0BfAf561ebB612c8F3281dfF2Fc36E5546842a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2779963913741265000, Bid count: 0
Account: 0xc31D3c23A1CB278B153BF1F205802903C27E7160, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3233899002000654000, Bid count: 0
Account: 0x9C1820e8dd30ddf35F050851aFA5c4715A242AAb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2000208489649402600, Bid count: 0
Account: 0x3264f06b459717822c24e6945927062Cf01c5807, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3628819981326832300, Bid count: 0
Account: 0xFEB38a389B6840D4533eF0122ffE961E304dC2c9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2339381916116600000, Bid count: 0
Account: 0xFBF383d962Ee6D83CdCd51ABD5EF7dD00ed653aC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1537182426848191500, Bid count: 0
