Total supply:  1000
############## Round 0 ##############
Account: 0xF6971a5bA2025B000c4E1383FCF621b8CCBc57B9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2646843859561084600, Bid count: 0
Account: 0x8dc54CDE28Ab4039b4476Aa9D2152c891fB4A5A0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2497212840774342000, Bid count: 0
Account: 0x0b540Dcd2506cc23A6cE3ADa748FDFecE5EDB127, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2624402084938228400, Bid count: 0
Account: 0x1c836F2F38C492c57245C0143F6DdA5b5e33b83c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4206664307586644000, Bid count: 0
Account: 0x413d57348c71b43Fc5a21717A6bBf0F6c77fDc05, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1730293545628283000, Bid count: 0
Account: 0x0017E460b463a0Cf3e7697aA0D0564f593602744, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1584568349779901000, Bid count: 0
Account: 0xBAB2B4f216D04A093AEE1F27eBED18D5caEDb00F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2341068497659645400, Bid count: 0
Account: 0x642A2BBc83938f023Ec48bBf2F548735A1cd67fc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2884673636667212000, Bid count: 0
Account: 0x875dD152177681854452a018F79CD178DE7EC155, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3398897186858836200, Bid count: 0
Account: 0xa6490F09eAe83568510316273ebf49d99085F3d9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2574389543837362700, Bid count: 0
Account: 0x8519B6810d513bc3f6588E2B6dF4C2B824448368, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2326409492175579000, Bid count: 0
Account: 0x7cDFc46eDA5aA62eE2532ccB340845b5255887E2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2228723797070902000, Bid count: 0
Account: 0x46D2771F13Eb253cf38D96e001F9453989a20Bf6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1346397268731095900, Bid count: 0
Account: 0x3e5043977b7553058276F11078dD7371a5437320, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1794126984619711700, Bid count: 0
Account: 0x3601DE4880b72fe87e7a318C579A1B1AaAdDa7Ff, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1895246812045191700, Bid count: 0
Account: 0xe8fF9F3a2d1772Eb2800A7D8B29F0554fDAB1348, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2322485741728967500, Bid count: 0
Account: 0x0AB450a493241d652de1098C5fD1C6803EBF80a4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3595962871722767000, Bid count: 0
Account: 0x167da874bb03B52aadE43Ea530c07b9F036BF4d7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3845576035108166000, Bid count: 0
Account: 0x276666A2B2Edfe7ea9F69D680bAF0CFbbb626a9a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2212042743509910000, Bid count: 0
Account: 0x6995E16F4164CaBea3950DE5650B4a4D1452F657, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2845885252214250400, Bid count: 0
Account: 0x7df3D5542eceCCCc587D31e321813b9D0E212C70, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1643323782256218800, Bid count: 0
Account: 0x3766a4EB0B8264Db715556cfCc9B0CF81ff8a029, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2082740939859513600, Bid count: 0
Account: 0x9bDb32fc4b722379D340Addb285A9E31bf137e55, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2325007168494185000, Bid count: 0
Account: 0xCA6E61EfE679bE5bEDC2339f817d8152ab2499f3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1404826768239834800, Bid count: 0
Account: 0x77832b27025E75E7e0A93cB571248684C88A8Fc4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1756228292783429400, Bid count: 0
Account: 0x04fC8635F99a525aAD98A09c8e2F190F16bB5AD8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2321431733214964800, Bid count: 0
Account: 0xC215d9642521B7c0D96BDf1Bb04fb8a8df86c963, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2505153255837594600, Bid count: 0
Account: 0x44Aee664B96B945856f4EddB463E8535c3cE8dfe, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3748704197362130200, Bid count: 0
Account: 0xe873703254aC513001E98030a2B176D0a62a586b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3380581108756121300, Bid count: 0
Account: 0x9Ef09307695248d6BCA4B45Dfc35Be446381f265, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2045397437605525500, Bid count: 0
Account: 0x207e87388F98Ee242E7d73D2b5Ff2fc06D500652, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1596950147885652700, Bid count: 0
Account: 0xf68884c808b71Bc62238FF7bC48Cc28ee6385E38, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2438294396480528000, Bid count: 0
Account: 0x60446994d9b71f753bf795fF5EFA68b6f2A5F261, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2220819077481109600, Bid count: 0
Account: 0x724A32743018e245F56022fBaff33d17f9A66E67, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1641774654023046700, Bid count: 0
Account: 0x060BdB9Fd0D78bf4A3A0FdF37e5c8F6398D59b98, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2667138855351342000, Bid count: 0
Account: 0xdAB2638964A1d17a003F381F86100De2997B6f29, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1403433483406062200, Bid count: 0
Account: 0x6CF32fD6aBa5Df9D5444A0C2A062847a09280796, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2457435575433343000, Bid count: 0
Account: 0xce6EE3D11429df075Cf5d21546393E27afdf21B4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2371448871094946000, Bid count: 0
Account: 0xc693BcA27Bc17f0Bb3E0C6Df577e3D597aa496Ea, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3295906242702414600, Bid count: 0
Account: 0x9C430BD1FE587E5f743FFc3866b45f6E39D31E7b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2348180332424858500, Bid count: 0
Account: 0x6478128E8A4428e756360948Bb7faB2Cf27Daf8e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2258875364090743500, Bid count: 0
Account: 0x9AFd65F420f5bdFf4AD88d3904f53081e073dD1A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3297173102035931600, Bid count: 0
Account: 0x7Ce2856dA66271CdCdb77309260ADEfb6F9844F6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3473379325102720300, Bid count: 0
Account: 0x4db729B73Dc577F89171585918a85fdaedE0304e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2703707937663143000, Bid count: 0
Account: 0x96b70F3279321A0a954584844489364Ad998CCbB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2209202861061445000, Bid count: 0
Account: 0xA7E677FA52E8030DBd9B732b9bb26b14937101C3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2662336106782468000, Bid count: 0
Account: 0xF52232a552086546315eeae27895942A67596a74, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2914898297986132600, Bid count: 0
Account: 0x929EEaA3605e26Fe1b09A6D2320408c502cDc373, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2999627318377490400, Bid count: 0
Account: 0xD7EE9FfBD53a1C49f686694ff3457e1cC48F6cc1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1986785218999495700, Bid count: 0
Account: 0xF8680DdBbCdfB4456321C34d38DabE4B961A89d0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1994291125557336600, Bid count: 0
Account: 0x1E9A7b4759Be3Acf7889673506Df6de1607DF45F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3036975555349560000, Bid count: 0
Account: 0xE2446a9fCD447417Cbc813d393f12B6853c0CFbF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2294120487194233000, Bid count: 0
Account: 0xBEA6e800Ea263985c29a6207eA405908c86d3DdF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2022457916662636000, Bid count: 0
Account: 0x3482b2bc3FA512C51e5B949021b1613d5155C225, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2956964309413310200, Bid count: 0
Account: 0xb6023f981Be67c6F545B45C8568b76E856C4edd5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2241442072633077000, Bid count: 0
Account: 0x5599B6916065A2Ff98782e8BcF404F098f5BD583, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2387387351709601400, Bid count: 0
Account: 0x8ACBa8D259c45FE074484e2424251141cFAc58E2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2028059207635901000, Bid count: 0
Account: 0xeA826D3CC5D8da9aEDC284219C8A24F76fE822a1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2381503712247018000, Bid count: 0
Account: 0x408a329D3d1E2F59b24A5305EFf10f8Ca8056a2f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3521117213392759700, Bid count: 0
Account: 0x10d026709c7b5893Bf611a81D1C6cdBf70e084FD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6014545843505642000, Bid count: 0
Account: 0x7256728b761AEefF8BdE3B8b7138E3713af69F21, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2536338730021232600, Bid count: 0
Account: 0x5f38E15859966E02c95e485374d9B017985dF4D2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2855950550594003300, Bid count: 0
Account: 0x3E5eAD656DE26Cc6c1eEF7ecF7f4Ade587D3f97e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2474325102638528200, Bid count: 0
Account: 0xE2d5E1Be2b395B3fB099C8fd6e07b3a6630C5986, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1323441214613279500, Bid count: 0
Account: 0xB29964681360afB57FF5029881BC101329C2162A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2845155011544568500, Bid count: 0
Account: 0x34721311bc3f0e0ae834FA94f70FCF254076C80b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1556525892983062300, Bid count: 0
Account: 0x42776E75CF07F1003C36D351FC5AbC84677e7e0a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3481417131794166700, Bid count: 0
Account: 0x2c05b7518Bedd5657FcCf2Eb45fdE178b6D920C8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2697366570179125000, Bid count: 0
Account: 0xBeD980B64A534c0D68d954c8f1158987A583a9FB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1421555091995110000, Bid count: 0
Account: 0xd7E0fE6651514820238F6eb90F9629c0788A007a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3166391085358767600, Bid count: 0
Account: 0xAe73541032d42F469977E5325AcD5e309BE8BA80, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3846598708734368700, Bid count: 0
Account: 0xfC120830A775C44a6Ae36F1DC7b9c01AEFfE32A2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2353047493266607000, Bid count: 0
Account: 0xDf8F50Edc59353616e769a5cC9bB5a8D856D790c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4646929226225374500, Bid count: 0
Account: 0x27f8930EB7e512b8b2ef1D0dCcBb0136B814229E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2797488036062182500, Bid count: 0
Account: 0x2c1f6f41B63E03576716afB2297E03778eF34aac, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1721954434346409300, Bid count: 0
Account: 0xbB1232895820F9B4a7d19F2228B12F83426caa3a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2376521920607030500, Bid count: 0
Account: 0x719C9CFB16e35AA0a682eE161398e477Bfb2aa9a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2455767062449613300, Bid count: 0
Account: 0xB45A8D7498bD7B5f2eE46fc6817C352B37Bf871a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2528439413049408600, Bid count: 0
