Total supply:  1000
############## Round 0 ##############
Account: 0xC78720075A46E77f22915070C4e50D98A1afCC58, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1766419159580370400, Bid count: 0
Account: 0x61C9D433c8caf5A2Fb4B32aAE5A399e35F9157D6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1917510554442703100, Bid count: 0
Account: 0xBe524f3570B4B9FB23A34b97715dfaE270ccf26f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1544900513195020900, Bid count: 0
Account: 0x214A551558A341352B1732F265Ea1849620De972, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2166843191736273000, Bid count: 0
Account: 0xe0648140137db4433b5bEf1d05480d5FFDe0D04d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2038274506376897000, Bid count: 0
Account: 0xFD5d90a76D15b30C78728246c33aD021F342B541, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1498522571974734200, Bid count: 0
Account: 0xEA8E1967061C8e2C5Bb82788afE070180D5983Ac, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2499473223424547000, Bid count: 0
Account: 0x96Ce7d1320023FD066569f5c1b2CA523CC70E05f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1920709536424210000, Bid count: 0
Account: 0xac3DD5c52a54396eD3981b55756150788732A5Cc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3574239074250131000, Bid count: 0
Account: 0xd740d3124b01DD2890Ca123b580B276D3b2A67fD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2172993963616997000, Bid count: 0
Account: 0x1A4E41A67fdc905657F29aacB6e2C2C9d3f90520, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1298139455636790500, Bid count: 0
Account: 0xD394B2BD83961360233F0cEc96782284758F4F9E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2092520219637419700, Bid count: 0
Account: 0xb23A76BfEF3796453457f3b5c708783AF812347C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1658776525576845200, Bid count: 0
Account: 0x7CcD0067Ae4C30B014001c7DE944C8bCd97a82e0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1543845187101508900, Bid count: 0
Account: 0x8146b69C96d9C3CEc0F3b789DC4610c4Ad211273, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1626045430877215600, Bid count: 0
Account: 0x52bdAf5d5ce4359Ac3D6b68c6961edA3EdFe37C7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2229925618628598000, Bid count: 0
Account: 0x14C65e3C5c5aD6813BD49C368786f6EDFA60537F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3327993928387977000, Bid count: 0
Account: 0x9842D28141c1ba23Af55Fd4E81C66E090e5Ad8f0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2205593807968896600, Bid count: 0
Account: 0x7aB90ce222Fa8083e21485cFf5841A6650A62A3A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2118364832093191400, Bid count: 0
Account: 0x688F9bB55b010b0180267cbbd516E1864F82D411, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2148392738943662000, Bid count: 0
Account: 0x821b5C5FD1c91a2B1ab63Fbb94116033820d4Ad8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2971018629398939000, Bid count: 0
