Total supply:  1000
############## Round 0 ##############
Account: 0xD34e797dF3b3477501Fee32FAa332021DD9b63a7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2068929566731909000, Bid count: 0
Account: 0x9497128C96cE6f665c139983B5Af88B169DE121f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3162457929418758700, Bid count: 0
Account: 0xf9030D3828EE573d1444c6a079F4937aefa016d0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1734477612196844000, Bid count: 0
Account: 0x2f7378259D430E5C38fb388D101AC23287c9750b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1891150316366788000, Bid count: 0
Account: 0x4Da8Ce6A8Be2Ac85f387C5d24E0210d0f0d14838, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3613830287044082400, Bid count: 0
Account: 0x1268A5eeB4b335BC7563569d88323930BF578365, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2146977136175229500, Bid count: 0
Account: 0x1BD2c5f7eC631966d0bfc33D862909b7d1b6D142, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2685271179177431300, Bid count: 0
Account: 0x4B178BE4025EA0C051db3F4Da0c21DB9a26850b0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1915135802577011500, Bid count: 0
Account: 0x594001B8B2D1138F28316A6b2F5197aa699C3557, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2018640044392136600, Bid count: 0
Account: 0x0c9C4982E7fD2bF7de9b011410927A6C75651063, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3546908401381211000, Bid count: 0
Account: 0x92142c00b5D2eC2aaF4343f9b8ef73cD190ec35a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1309368828416053800, Bid count: 0
Account: 0x976Bcfe28Ffb5159912255c14e9F71Ac5100bE1F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3515466095201747400, Bid count: 0
Account: 0x2CC15a2Eaa2c5ace3c966628e07650A449CA0F5e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1676790542679023500, Bid count: 0
Account: 0x089bf9366B3e986254F8FaFe8dD21c6370fe898C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2941879744960674000, Bid count: 0
Account: 0xA0a044E74b1c899BfC4AAAf3616ec026e1A85a47, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3330252703918328300, Bid count: 0
Account: 0x2C7Cab9b85830D7F12eD8304142b31d4Aa4a0676, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1974247541360960600, Bid count: 0
Account: 0x6c512a002F28FB4ca5C4D320b7FFa8883Ad3d4B5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2150407588297212200, Bid count: 0
Account: 0x0da7ef68521A6a062d4Dd9cEcF8A82F22c4151d1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2056920631430837000, Bid count: 0
Account: 0xBfC63F4A7d112603a6824D959089F37bFde509A5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2647482323701417300, Bid count: 0
