Total supply:  1000
############## Round 0 ##############
Account: 0xD86B496C9bF90727b64180DaAAD8FAFBD738dFA9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3082874581581481000, Bid count: 0
Account: 0x17B485d9719f52C2e8a11c77ade0C36882488d46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2977782545175726700, Bid count: 0
Account: 0x33942F118Ce8F87FD6D6B4A30DEcA1a6701AA416, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2946301040100284000, Bid count: 0
Account: 0x4A77fbB9373CF0bB06508B3526D22d337e21b7CD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2554516171310802000, Bid count: 0
Account: 0xcaA89D043dB2900Fd117e1204a7b53511eF786fD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2802693189105914000, Bid count: 0
Account: 0x8321864e4CBA881F6cfd2203281d8BD2b079CAE6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2721601112551634400, Bid count: 0
Account: 0x3B89b2B91610d54478f612029Ca3D93Daa1792B0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1898006081126389500, Bid count: 0
Account: 0x5DAC55B02f65526CEFD28491536b3C32f85d2da1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3937168854875347000, Bid count: 0
Account: 0x0DaE81dbFE5a238Bb8506770c216739BDBA2c582, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1932299072136856500, Bid count: 0
Account: 0xebd8f7965093b83A59161E917bE3c73c54D792d3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4171273088948180000, Bid count: 0
Account: 0x11225401ED9b56c242570AC813d4Db0e8a781B67, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4266818161419531000, Bid count: 0
Account: 0x550024f1b1f029D1Bc73a873DCEea3DA963d83Df, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1921210007394081200, Bid count: 0
Account: 0xf0A11Ee7413DB56FddFF01B0B46d53Ef2Bb8FFd8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3587732924163768000, Bid count: 0
Account: 0x6D6c393578C7533F8a5dAA9Cb810C8aebFdCAaa5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1683269424511506000, Bid count: 0
Account: 0xdD1185c188Bd87D0ca934e15dc5FB1B510ca749A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4369178985694246000, Bid count: 0
Account: 0x9eECAf6A4bC42D0Ed2EFA7Df6fC0371272BEfd91, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2373241619417116000, Bid count: 0
Account: 0xaF05E38788cbc7B45114ce6CB9D7B0B995C75087, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2728812666322310700, Bid count: 0
Account: 0x8868EB22De0773A59266963184169Cd68Ce86F61, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1370325644823061000, Bid count: 0
Account: 0x5538EC06b5D0bB6EB03f71D8356785F566aBEe24, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2516915727244729300, Bid count: 0
Account: 0x59FdD5b67e70acaCfA25112237d6C1E37742Cc85, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1932278368724817000, Bid count: 0
Account: 0x5Df5AfC7666758E898b95DFb13524FA917689830, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1597409008906825400, Bid count: 0
Account: 0x72924ADC3c82a922DcB5cB67E30FE15b8cc610f9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2419567748407436300, Bid count: 0
Account: 0x25a7099F0E7a8Abb06293Ac0419826A65beE11Db, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4739869370337219000, Bid count: 0
Account: 0x8Ea8Df8361F1f7D0607A04d82D7af2f5E307fd02, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2522817805661781600, Bid count: 0
Account: 0x9dE586BbaF5c2D7a90de2EbBaF5b61620Fb0BFA1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2909820882684833500, Bid count: 0
Account: 0x7b2A010679Cdd779843CDEC9F752a41F4D8f4e54, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2503972766215169000, Bid count: 0
Account: 0x06105bD4709E456864344F42E5DAb824F2E817cB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1985179654881263200, Bid count: 0
Account: 0xDB186A98705e1a2ba4faB5297Ef80f7E06C7eb86, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4615193229200836000, Bid count: 0
Account: 0x4Ec5A2866447B7FC7f11b8fBd3a16a806620FaF1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1954575351807691200, Bid count: 0
Account: 0x70f149F93AA1e6d576781088DEc15C87290535C0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2856353386745347700, Bid count: 0
Account: 0x585dBcf0cDF4b217564f625B83FFC914adDa9D45, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2041911847971584000, Bid count: 0
Account: 0x79a0BeF33EC54020fe92d18C95205D55c81fa256, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2163851008635109000, Bid count: 0
Account: 0xDc1E0c01A2C9Ae9AD74B3b065DBbb39E17b7cD55, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1553009655653938800, Bid count: 0
Account: 0x58477676d05d80C87A88e5Da4c728aDE76e3E74A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1700355363189287000, Bid count: 0
Account: 0x8FaF318792Dec97795615d9762c31BA8e6cD65e5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2309827756596626000, Bid count: 0
Account: 0x7b763c66E4C632545883F0602C454b4361d7Fe80, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2890604577098506000, Bid count: 0
Account: 0x855Bb17Bf7Dc2D8332cf264e172186Ba7f8CbE2a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3410836710413588000, Bid count: 0
Account: 0x4DBEBd75bd920E1A1f2367A068B98f4B1Ab8665B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1628117751322721400, Bid count: 0
Account: 0xdae9228B1B5C691905Bf2e1dbea3fdCFc7060481, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3125851015266098000, Bid count: 0
Account: 0xc67626b1dea7948110aE0b9CA8c7C85943baDbFD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1636854917417684500, Bid count: 0
Account: 0x59dc796107907a5243280E2c0Fc5eac030f6d56D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1385427437111093700, Bid count: 0
Account: 0x029F04a829A8603edFa3a170120687B4F5F60679, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3095782174519771300, Bid count: 0
Account: 0x1432e0baF8bC411794685F05E91ae3567CcF243b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3690334586994137300, Bid count: 0
Account: 0xA3B9866fC09ce66d72B1D0e0cdFda42339393ebc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1305742974027005000, Bid count: 0
Account: 0x6fFb14Cc0f0c29734FE191A7728C37087842423b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2105531364745206500, Bid count: 0
Account: 0x27D3A7B52D8269B220944549572bA0CBA32376a9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2234816924689877000, Bid count: 0
Account: 0xeC81c2D86A544D348e3B7BeD6961803902e28542, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2221972769538374400, Bid count: 0
Account: 0xe89C2e3e3bCC413473ec8a3d09d0cd34E42D7172, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2669038351270708000, Bid count: 0
Account: 0x7A45769F4C31FeF634C6Cd69753C4fb8d22d1E49, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2059582176543619500, Bid count: 0
Account: 0x1c41BDE70214cb7E0A925E04aA8381eDA669A20b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2678909038106463300, Bid count: 0
Account: 0xBC7Fd9d1Ed5A0B3A446681Ae5124769cf207C9B0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2409459833084723000, Bid count: 0
Account: 0xe9706307F969127F224cf2D7074fE8E59273Ab88, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1774623913595973200, Bid count: 0
Account: 0x87a6152aFeDc2DFaE5190787aa5b660F94D5235B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3663811325004054000, Bid count: 0
Account: 0xa13E3d239bb1e7eDEd4a0D4D9e43Dc8157A90C31, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2967517335588975700, Bid count: 0
Account: 0x0a82Cedc799b37F3022d0F5901cfBb1991fb1Bb5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2103691989274385000, Bid count: 0
Account: 0x1794451A42614149B9b850f6b7fA2606E539e086, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3113395956112661600, Bid count: 0
Account: 0xFD6475880Be9f4C6282e6E308781F5bdc2D9141E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5016596147092087000, Bid count: 0
Account: 0xB99d391C16aB4952c490D0d3410498634ebDacDC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5288159487027213000, Bid count: 0
Account: 0x082418B63181bdc2B7194a6601CfDf9f3d2Fa3Bb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1891831078169511800, Bid count: 0
Account: 0x19AF862C40a8D20260a0b07b4b84c6aC3f7109Ce, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1895398320610045300, Bid count: 0
Account: 0xC8E8bD8b42A1B5598b616044496a7BdA5Ea24adA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3227585881960312000, Bid count: 0
Account: 0xe06478A99Be86601Ee017152aE0F173c3bE30858, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1956137824808394500, Bid count: 0
Account: 0x747411f7024Ad856E0975BC183aE1E43Bcea18A8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3463301946878666000, Bid count: 0
Account: 0xd485c8A5Ba12F325D7443d19312f6b4440C6F9B3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2002361389432840700, Bid count: 0
Account: 0x054De1B3b42d30e5B0619e89b4a31ec5F832d724, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2583991001319603700, Bid count: 0
Account: 0x4722EB699B3718E21C58778674782D4A3b112529, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4216268821666922000, Bid count: 0
Account: 0xe81648729726d34013ae566beaf22e998e6efF60, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1580530911532212800, Bid count: 0
Account: 0x9d8C930D3Fa931DE8Abf3274dD6b6f114500b89f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1608414604164149200, Bid count: 0
Account: 0x92D01DAe28Ad05612fD92b7289197c55cf08f587, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1775369435540483700, Bid count: 0
Account: 0x3715D11981492052693Bca180b44B40046D7406b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5090688938876511000, Bid count: 0
Account: 0xb669c092Ba9c4f0129287dEAC0B8070a4b010178, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2502005002015967000, Bid count: 0
Account: 0x56631B6E60026f3c72B13117369B8fbbF1515B3b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1338661383128501500, Bid count: 0
Account: 0x334B84D25BC64F3a4374E84E8AdFE175F20bb10D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4614263546926360000, Bid count: 0
Account: 0x4a3d5C7B5131425f992538758c1F93E661B725E9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1430894507147881400, Bid count: 0
Account: 0x2bAeC497F1Ffb1b625dC2E270A94824A93bcf515, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2987086471322937700, Bid count: 0
Account: 0x1231D2aD2dC0B9e2F70f5b9aeaba8b8a22855D93, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2057262980825725200, Bid count: 0
Account: 0x06652Ab50398Ab9353FB4eC56D13f18681C8b5B4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1683871382803816500, Bid count: 0
Account: 0x73f48D80Be09e6bc47ee4Ddb10ECbA13f9d64ACa, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1753356026498600000, Bid count: 0
Account: 0xD6107E3F7f904c627d4f94A149f82BAe79d3Dda2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1636065261536451500, Bid count: 0
Account: 0xaBf3493b3Fe3A1D31d4bEb482dAea5560A8a414D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2316150483311865600, Bid count: 0
