Total supply:  1000
############## Round 0 ##############
Account: 0x1B652A063A13D763A91A5c9F20fb19aCB8b6D869, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1807106514310262700, Bid count: 0
Account: 0xa770553E7fF6F07Db7E23455aEC0FafA6F77C933, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2933100217646836000, Bid count: 0
Account: 0xB8c3e85F7d94f875B3b36Dc743BcC4c49ba70Df3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1762021467043699000, Bid count: 0
Account: 0xd83aDd9370604D320a0224acDA82B8c74e1FEB90, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1501714253215532300, Bid count: 0
Account: 0xb84F81B0c4c263C8649dd131F9Dd5FD67a8B810e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3962266714445421600, Bid count: 0
Account: 0xE9fe81E159A8DAa2b0Ce04c9ddf2D5B9A5aE79A7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3984243712412637500, Bid count: 0
Account: 0x72D0B0309ACEF1cbe6245860929F4b14e934A424, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3363567808121415800, Bid count: 0
Account: 0x0704E6Fd2425D27549F97afCF514Ee5e20aD117a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2072068815292394300, Bid count: 0
Account: 0x145bC9d76728F23593F791F1834676eA87E8e934, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2175076619285259000, Bid count: 0
Account: 0x5349414f53b67ADb4aC388110267ad10CA06071c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1914637130111500200, Bid count: 0
Account: 0x3EBDb3b1226e80768eBFe753fa27823Af2Df7103, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2973571685375330000, Bid count: 0
Account: 0x2Ec09F0a42aA56D47C192DF599a74F6A03bd1F70, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3117129499225405700, Bid count: 0
Account: 0xD2572cB7776c05C2D670DF7fbD242480900E659D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1901652781755173400, Bid count: 0
Account: 0x6E00a09030b7C4464a23Ca9CAf8fC9Cfa57856DA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2028929961467089000, Bid count: 0
Account: 0xE6A5b3e0eD1d7684aD17430868D9dC0a59e97850, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2309630363516711200, Bid count: 0
Account: 0x16457dBc2223BcB3b324b26a4658DB34AE32cFad, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2627378105400705700, Bid count: 0
Account: 0xF1f365cf497E6c493a886476aCEF0b52952F68A3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1408687962472528000, Bid count: 0
Account: 0x05A9bD33Bd474Eb1341029362f0867515D85eF09, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2392662956905018400, Bid count: 0
Account: 0x97ec4e6597B7AFA5fa7b32f9F6fd747c1430dB1D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2472121204395131500, Bid count: 0
Account: 0xC09680bDa0916D65bB3fAa4Bc9FA1f16926B51d2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2292850961909771000, Bid count: 0
Account: 0x536c73d4aa00381F9e301e563fB24ad4A3511f29, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1739936570281863700, Bid count: 0
Account: 0x591806bC9c94DD29FfD2E33DA04270b8354C21f4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2446490572461425600, Bid count: 0
Account: 0xbF65f8ab755A7bDA3fD9FafC2e0Cce0c3CD7494b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1729077895813876600, Bid count: 0
Account: 0x6221B4bcf759007378f30222951272279474a3D5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1234825576861939800, Bid count: 0
Account: 0xDc3e06b24b8C20Eb48Eab32Ad412DD53F2713b5d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6682860122917457000, Bid count: 0
Account: 0x4e4C890448ecC1Fb13f04819E6EB0F0611318b2d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1572839694356459000, Bid count: 0
Account: 0x3B81a0ca5374008B24214Be0Ef4Bb3A0F47919d3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1294688670596312000, Bid count: 0
Account: 0x0fc5ed12b9037A6401d70C7fcf09FE22ebA1FA19, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2794017979066090000, Bid count: 0
Account: 0x70B682f382D49B0931367E30a539cf863a92Cac7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3293577095829532700, Bid count: 0
Account: 0x2179F8FeB19Bd59Fb35f22D11282aaacc2902071, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2037775870856566300, Bid count: 0
Account: 0x46D79f20e2E20f5A21482327A3EcFFA2838c3A53, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2425895144708896000, Bid count: 0
Account: 0xc3F4a4dC12884765A25a54804AA91bB4efBeFE3c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3182177857872644700, Bid count: 0
Account: 0xE0CBD9e81DF2Aa25c3306bCF7B7A2391E62133B3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1650666708719564800, Bid count: 0
Account: 0xcFDd1EF7f0332D374d98fE89070958e1d0f2507a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2870128362281502400, Bid count: 0
Account: 0xe445E2453C0792f442Eb13647C5478b188c40A05, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2320240589581753000, Bid count: 0
Account: 0x227110D14Ad005E16fF84074442A31b26bc7a285, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2518035696159227400, Bid count: 0
Account: 0xD52EbcD6c8354C7955c1F7294D7Fb73C7eFFAFC5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2202232747307386000, Bid count: 0
Account: 0x0d7d51B57E36fDC210cdfDb2a9637e996538473E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2607506478370970700, Bid count: 0
