Total supply:  1000
############## Round 0 ##############
Account: 0x5d5d8DD608c8fc61b3F62C0913827a7F87710081, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1450682237669218600, Bid count: 0
Account: 0xBdA611BE1e8E095F5b459d8F65c300bF4D8e62b3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2166931275965826600, Bid count: 0
Account: 0x3f2AC1bCEBcc608E83502Cb44082b77D29354257, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2592075477299364000, Bid count: 0
Account: 0x4280b33b8da099317D9D949b8e7eCC0bF8175A24, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1996514974813858000, Bid count: 0
Account: 0xA1c9E9E4557d08FC51df23a699FE0cc94801da40, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3023417942328040000, Bid count: 0
Account: 0xCf7B40EfEE05a1Ae6C07b17F11677e824E79FBe8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3044484584536888400, Bid count: 0
Account: 0xcB5DfaB5aee846339D6202367a256e9116E88E1A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3055555766444269000, Bid count: 0
Account: 0x2Cab3833ff87eD4a8233b8b1244d299233693ae6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4255322260054862000, Bid count: 0
Account: 0xf065ff32EE11A4a075901d28bf05aa625cc0ea03, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2507826955776290700, Bid count: 0
Account: 0x1C1a8c26996178F4162C4b2a13ed0417fBb67EE8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2938650961303850000, Bid count: 0
Account: 0x049AFe8df8C2Ba3421Ae656836B869cB8514C095, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5682509428523535000, Bid count: 0
Account: 0x9e254BeBAB34606E47e35f5E38A6567671591C90, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2081690381090637800, Bid count: 0
Account: 0x0Ef393216E020AECA126e4fd85629b9C39C476a5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2242192363398067400, Bid count: 0
Account: 0x6b4e30F4d53F11d571c30ffF91aC7f1D07EcdBa0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1851172866306448800, Bid count: 0
Account: 0xf61e968CFEFE64fD6772d3a536b5b5C796733491, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1902668378338625600, Bid count: 0
