Blocknumber	GasUsed	GasLimit	BaseFeePerGas	TxCount
0	0	10000000	10	0
1	0	10000000	9	0
2	0	10000000	8	0
3	0	10000000	7	0
4	0	10000000	7	0
5	0	10000000	7	0
6	0	10000000	7	0
7	0	10000000	7	0
8	0	10000000	7	0
9	0	10000000	7	0
10	0	10000000	7	0
11	0	10000000	7	0
12	0	10000000	7	0
13	0	10000000	7	0
14	0	10000000	7	0
15	0	10000000	7	0
16	0	10000000	7	0
17	0	10000000	7	0
18	0	10000000	7	0
19	0	10000000	7	0
20	0	10000000	7	0
21	0	10000000	7	0
22	946712	10000000	7	1
23	3470654	10000000	7	1
24	92549	10000000	7	1
25	0	10000000	7	0
26	0	10000000	7	0
27	1071000	10000000	7	51
28	1386000	10000000	7	66
29	1344000	10000000	7	64
30	1323000	10000000	7	63
31	1323000	10000000	7	63
32	1344000	10000000	7	64
33	1323000	10000000	7	63
34	1344000	10000000	7	64
35	1323000	10000000	7	63
36	1302000	10000000	7	62
37	1323000	10000000	7	63
38	1302000	10000000	7	62
39	1302000	10000000	7	62
40	1302000	10000000	7	62
41	1617768	10000000	7	64
42	2076771	10000000	7	54
43	3979992	10000000	7	60
44	4018208	10000000	7	51
45	3158688	10000000	7	55
46	4581924	10000000	7	53
47	4460296	10000000	7	48
48	3852297	10000000	7	45
49	4749800	10000000	7	45
50	5300568	10000000	7	44
51	4720128	10000000	8	42
52	4530609	10000000	8	45
53	4841804	10000000	8	47
54	5221584	10000000	8	45
55	5624092	10000000	9	45
56	5549102	10000000	10	44
57	6941140	10000000	11	46
58	4946113	10000000	12	48
59	5018353	10000000	12	41
60	6542288	10000000	13	43
61	7676703	10000000	14	44
62	6285408	10000000	15	42
63	4887812	10000000	16	38
64	6682510	10000000	16	44
65	7558201	10000000	17	42
66	7018362	10000000	18	44
67	7039385	10000000	19	45
68	5414772	10000000	20	39
69	8253840	10000000	21	46
70	6226722	10000000	22	40
71	7685769	10000000	23	43
72	6168080	10000000	24	38
73	7706764	10000000	25	44
74	5932191	10000000	26	38
75	8062559	10000000	27	44
76	7328912	10000000	29	42
77	8323095	10000000	30	46
78	6324967	10000000	32	39
79	7850653	10000000	33	42
80	9168397	10000000	35	47
81	7883981	10000000	38	42
82	9007150	10000000	40	45
83	9200360	10000000	44	39
84	9028544	10000000	48	37
85	9114422	10000000	52	39
86	9110126	10000000	57	38
87	9031112	10000000	62	39
88	9156965	10000000	68	36
89	9508203	10000000	75	22
90	9065921	10000000	83	22
91	9185746	10000000	91	21
92	9011051	10000000	100	20
93	9450636	10000000	110	21
94	9197048	10000000	122	20
95	9132396	10000000	134	21
96	9100434	10000000	147	20
97	9328458	10000000	162	20
98	9233377	10000000	179	21
99	9098655	10000000	197	21
100	9022028	10000000	217	20
101	9312696	10000000	238	21
102	9270942	10000000	263	21
103	9125840	10000000	291	21
104	9440940	10000000	321	21
105	9373728	10000000	356	20
106	9138094	10000000	394	20
107	9330320	10000000	434	21
108	9468316	10000000	480	21
109	9263247	10000000	533	22
110	9311820	10000000	589	20
111	9234817	10000000	652	20
112	9390385	10000000	721	21
113	9235683	10000000	800	20
114	9160895	10000000	884	20
115	9114957	10000000	975	20
116	9478888	10000000	1075	21
117	9242321	10000000	1195	21
118	9140097	10000000	1321	20
119	9045928	10000000	1457	20
120	9062069	10000000	1604	21
121	9218794	10000000	1766	21
122	9454884	10000000	1952	21
123	9001338	10000000	2169	339
124	1779894	10000000	2385	68
125	2811138	10000000	2194	107
126	2923080	10000000	2074	111
127	2285028	10000000	1967	87
128	3135792	10000000	1834	119
129	2438910	10000000	1749	93
130	2795700	10000000	1638	106
131	2869896	10000000	1548	109
132	2231808	10000000	1466	85
133	2902116	10000000	1365	110
134	2019144	10000000	1294	77
135	2662758	10000000	1198	101
136	2577438	10000000	1128	98
137	2131110	10000000	1060	81
138	2949654	10000000	984	112
139	2822322	10000000	934	107
140	2125512	10000000	884	81
141	2609646	10000000	821	99
142	2662794	10000000	772	101
143	2104476	10000000	727	80
144	2742552	10000000	675	104
145	2396910	10000000	637	91
146	2098902	10000000	596	80
147	2556414	10000000	553	97
148	2503254	10000000	520	95
149	2769162	10000000	488	105
150	1785504	10000000	461	68
151	2902080	10000000	424	110
152	1891776	10000000	402	72
153	2476656	10000000	371	94
154	2508840	10000000	348	95
155	2662818	10000000	327	101
156	1971570	10000000	308	75
157	2556438	10000000	285	97
158	2423532	10000000	268	92
159	1705710	10000000	251	65
160	3067170	10000000	231	116
161	3274200	10000000	220	124
162	1812066	10000000	211	69
163	3279882	10000000	195	124
164	3247662	10000000	187	123
165	1838628	10000000	179	70
166	3173514	10000000	165	120
167	3008436	10000000	158	114
168	2535438	10000000	151	96
169	1466400	10000000	142	56
170	1791066	10000000	130	68
171	1758858	10000000	120	67
172	1764456	10000000	111	67
173	1572816	10000000	103	60
174	1711284	10000000	95	65
175	1758870	10000000	88	67
176	1658148	10000000	81	63
177	2210868	10000000	75	84
178	1472010	10000000	70	56
179	1758858	10000000	64	67
180	1211772	10000000	59	46
181	903924	10000000	54	34
182	1276116	10000000	49	48
183	850752	10000000	45	32
184	1196346	10000000	41	45
185	1116588	10000000	38	42
186	1036830	10000000	35	39
187	1116576	10000000	32	42
188	1063416	10000000	29	40
189	1063416	10000000	27	40
190	531684	10000000	25	20
191	26586	10000000	23	1
192	0	10000000	21	0
193	0	10000000	19	0
194	0	10000000	17	0
195	0	10000000	15	0
196	0	10000000	14	0
197	0	10000000	13	0
198	0	10000000	12	0
199	0	10000000	11	0
200	0	10000000	10	0
201	0	10000000	9	0
202	0	10000000	8	0
203	0	10000000	7	0
204	0	10000000	7	0
205	0	10000000	7	0
206	0	10000000	7	0
207	0	10000000	7	0
208	0	10000000	7	0
