Blocknumber	TxCount	Success	Fail
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	1	1	0
23	1	1	0
24	1	1	0
25	0	0	0
26	0	0	0
27	51	51	0
28	66	66	0
29	64	64	0
30	63	63	0
31	63	63	0
32	64	64	0
33	63	63	0
34	64	64	0
35	63	63	0
36	62	62	0
37	63	63	0
38	62	62	0
39	62	62	0
40	62	62	0
41	64	64	0
42	54	54	0
43	60	60	0
44	51	51	0
45	55	55	0
46	53	53	0
47	48	48	0
48	45	45	0
49	45	45	0
50	44	44	0
51	42	42	0
52	45	45	0
53	47	47	0
54	45	45	0
55	45	45	0
56	44	44	0
57	46	46	0
58	48	48	0
59	41	41	0
60	43	43	0
61	44	44	0
62	42	42	0
63	38	38	0
64	44	44	0
65	42	42	0
66	44	44	0
67	45	45	0
68	39	39	0
69	46	46	0
70	40	40	0
71	43	43	0
72	38	38	0
73	44	44	0
74	38	38	0
75	44	44	0
76	42	42	0
77	46	46	0
78	39	39	0
79	42	42	0
80	47	47	0
81	42	42	0
82	45	45	0
83	39	39	0
84	37	37	0
85	39	39	0
86	38	38	0
87	39	39	0
88	36	36	0
89	22	22	0
90	22	22	0
91	21	21	0
92	20	20	0
93	21	21	0
94	20	20	0
95	21	21	0
96	20	20	0
97	20	20	0
98	21	21	0
99	21	21	0
100	20	20	0
101	21	21	0
102	21	21	0
103	21	21	0
104	21	21	0
105	20	20	0
106	20	20	0
107	21	21	0
108	21	21	0
109	22	22	0
110	20	20	0
111	20	20	0
112	21	21	0
113	20	20	0
114	20	20	0
115	20	20	0
116	21	21	0
117	21	21	0
118	20	20	0
119	20	20	0
120	21	21	0
121	21	21	0
122	21	21	0
123	339	2	337
124	68	5	63
125	107	6	101
126	111	5	106
127	87	5	82
128	119	5	114
129	93	6	87
130	106	4	102
131	109	5	104
132	85	5	80
133	110	4	106
134	77	5	72
135	101	4	97
136	98	5	93
137	81	4	77
138	112	5	107
139	107	4	103
140	81	5	76
141	99	4	95
142	101	4	97
143	80	4	76
144	104	4	100
145	91	4	87
146	80	5	75
147	97	4	93
148	95	4	91
149	105	4	101
150	68	4	64
151	110	4	106
152	72	4	68
153	94	4	90
154	95	3	92
155	101	4	97
156	75	4	71
157	97	4	93
158	92	4	88
159	65	4	61
160	116	3	113
161	124	4	120
162	69	4	65
163	124	3	121
164	123	4	119
165	70	4	66
166	120	3	117
167	114	4	110
168	96	3	93
169	56	4	52
170	68	3	65
171	67	4	63
172	67	3	64
173	60	4	56
174	65	3	62
175	67	4	63
176	63	3	60
177	84	4	80
178	56	3	53
179	67	4	63
180	46	2	44
181	34	0	34
182	48	0	48
183	32	0	32
184	45	0	45
185	42	0	42
186	39	0	39
187	42	0	42
188	40	0	40
189	40	0	40
190	20	0	20
191	1	0	1
192	0	0	0
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	0	0	0
198	0	0	0
199	0	0	0
200	0	0	0
201	0	0	0
202	0	0	0
203	0	0	0
204	0	0	0
205	0	0	0
206	0	0	0
207	0	0	0
208	0	0	0
209	0	0	0
